base exp072 lat_rmse=2.680753 mse=7.186439
wls_n100_d2000_s0.5 lat_rmse=2.607172 mse=6.797346
wls_n100_d2000_s0.75 lat_rmse=2.584672 mse=6.680532
wls_n100_d2000_s1 lat_rmse=2.572069 mse=6.615539
wls_n100_d5000_s0.25 lat_rmse=2.614267 mse=6.834391
wls_n100_d5000_s0.5 lat_rmse=2.568271 mse=6.596014
wls_n100_d5000_s0.75 lat_rmse=2.543875 mse=6.471301
wls_n100_d5000_s1 lat_rmse=2.541705 mse=6.460263
wls_n200_d0_s0.25 lat_rmse=2.583615 mse=6.675064
wls_n200_d0_s0.5 lat_rmse=2.535951 mse=6.431047
wls_n200_d0_s0.75 lat_rmse=2.540513 mse=6.454206
wls_n200_d0_s1 lat_rmse=2.597073 mse=6.744789
wls_n200_d250_s0.25 lat_rmse=2.673279 mse=7.146421
wls_n200_d250_s0.5 lat_rmse=2.666985 mse=7.112807
wls_n200_d250_s0.75 lat_rmse=2.661879 mse=7.085598
wls_n200_d250_s1 lat_rmse=2.657968 mse=7.064792
wls_n200_d500_s0.25 lat_rmse=2.667096 mse=7.113402
wls_n200_d500_s0.5 lat_rmse=2.655784 mse=7.053187
wls_n200_d500_s0.75 lat_rmse=2.646848 mse=7.005804
wls_n200_d500_s1 lat_rmse=2.640314 mse=6.971259
wls_n200_d1000_s0.25 lat_rmse=2.656379 mse=7.056351
wls_n200_d1000_s0.5 lat_rmse=2.636653 mse=6.951941
wls_n200_d1000_s0.75 lat_rmse=2.621685 mse=6.873231
wls_n200_d1000_s1 lat_rmse=2.611554 mse=6.820216
wls_n200_d2000_s0.25 lat_rmse=2.639642 mse=6.967712
wls_n200_d2000_s0.5 lat_rmse=2.607694 mse=6.800068
wls_n200_d2000_s0.75 lat_rmse=2.585248 mse=6.683510
wls_n200_d2000_s1 lat_rmse=2.572554 mse=6.618033
wls_n200_d5000_s0.25 lat_rmse=2.614537 mse=6.835802
wls_n200_d5000_s0.5 lat_rmse=2.568506 mse=6.597226
wls_n200_d5000_s0.75 lat_rmse=2.543759 mse=6.470709
wls_n200_d5000_s1 lat_rmse=2.540915 mse=6.456248
WINNER {
  "experiment_id": "exp073",
  "phase": "postprocess",
  "base": "exp072",
  "winner": "late_median_n100_decay0_shrink0.5",
  "lat_rmse": 2.534698486328125,
  "lat_mse": 6.424696416594088
}
